Disease_UMLS,Disease_CUI,Symptom,Symptom_CUI
insufficienza cardiaca sinistra,C0023212,riduzione del flusso ematico al cervello,C1695782
insufficienza cardiaca sinistra,C0023212,"sonnolenza, anche diurna",C0920048
insufficienza cardiaca sinistra,C0023212,confusione,C0009676
insufficienza cardiaca sinistra,C0023212,debolezza,C3714552
insufficienza cardiaca sinistra,C0023212,stanchezza - fatica,C0015672
insufficienza cardiaca destra,C0235527,gonfiore alle gambe,C0235886
insufficienza cardiaca destra,C0235527,fegato ingrossato,C0156195
insufficienza cardiaca destra,C0235527,ittero - pelle giallastra,C0022346
insufficienza cardiaca destra,C0235527,accumulo di liquido nell'addome,C0003962
insufficienza cardiaca destra,C0235527,nausea,C0027497
insufficienza cardiaca destra,C0235527,perdita di appetito,C0003123
insufficienza cardiaca destra,C0235527,cianosi - colorito bluastro-violaceo di pelle,C0010520
insufficienza cardiaca destra,C0235527,edema - accumulo di liquido,C0013604
insufficienza cardiaca destra,C0235527,accumulo di liquido nell'addome,C0003962
insufficienza cardiaca destra,C0235527,nausea e sazietà,C0038002
insufficienza cardiaca destra,C0235527,liquido nella cavità pleurica,C0032227
insufficienza cardiaca destra,C0235527,urine frequenti,C0028734
insufficienza cardiaca,C0018801,difficoltà nel respirare  e dormire da distesi,C0085619
insufficienza cardiaca,C0018801,reflusso,C1956414
insufficienza cardiaca,C0018801,tosse notturna,C0231912
insufficienza cardiaca,C0018801,liquido nei polmoni,C0034063
insufficienza cardiaca,C0018801,cianosi - colorito bluastro-violaceo di pelle,C0010520
insufficienza cardiaca,C0018801,stanchezza - fatica,C0015672
insufficienza cardiaca,C0018801,debolezza,C3714552
insufficienza cardiaca,C0018801,edema - accumulo di liquido,C0013604
insufficienza cardiaca,C0018801,anemia - pallore,C0002871
insufficienza cardiaca,C0018801,perdita di appetito,C0003123
insufficienza cardiaca,C0018801,pancia gonfia,C1291077
insufficienza cardiaca,C0018801,perdita di peso,C0006625
insufficienza cardiaca,C0018801,urine schiumose,C0033687
insufficienza cardiaca,C0018801,urine frequenti,C0028734
insufficienza cardiaca,C0018801,tachicardia,C0039239
insufficienza cardiaca,C0018801,"fiato corto, alterazione battiti del cuore",C0018800
insufficienza cardiaca,C0018801,liquido nella cavità pleurica,C0032227
cardiomiopatia ipertrofica,C0007194,stanchezza - fatica,C0015672
cardiomiopatia ipertrofica,C0007194,palpitazioni,C0030252
cardiomiopatia ipertrofica,C0007194,vertigini,C0012833
cardiomiopatia ipertrofica,C0007194,difficoltà nel respirare,C0013404
cardiomiopatia ipertrofica,C0007194,"dolore al torace, mancanza di ossigeno",C0002962
cardiomiopatia restrittiva,C0007196,insufficienza cardiaca,C0018801
cardiomiopatia restrittiva,C0007196,difficoltà nel respirare,C0013404
cardiomiopatia restrittiva,C0007196,tachicardia,C0039239
cardiomiopatia restrittiva,C0007196,edema - accumulo di liquido,C0013604
cardiomiopatia restrittiva,C0007196,fegato ingrossato,C0267821
cardiomiopatia dilatativa,C0007193,palpitazioni,C0030252
dilatative cardiomiopatia dilatativa,C0007193,difficoltà nel respirare,C0231807
dilatative cardiomiopatia dilatativa,C0007193,congestione polmonare,C0242073
dilatative cardiomiopatia dilatativa,C0007193,liquido nei polmoni,C0034063
dilatative cardiomiopatia dilatativa,C0007193,difficoltà nel respirare,C0013404
dilatative cardiomiopatia dilatativa,C0007193,dita bluastre,C0235532
dilatative cardiomiopatia dilatativa,C0007193,affaticamento e vertigini,C0026266
emoglobinuria parossistica notturna,C0024790,urine marroni,C1142277
emoglobinuria parossistica notturna,C0024790,mal di testa,C0018681
emoglobinuria parossistica notturna,C0024790,pressione alta,C0020538
emoglobinuria parossistica notturna,C0024790,anemia - pallore,C0030312
emoglobinuria parossistica notturna,C0024790,emorragia,C0019080
emoglobinuria parossistica notturna,C0024790,anemia - pallore,C0002871
emoglobinuria parossistica notturna,C0024790,sangue nelle urine,C0018965
emoglobinuria parossistica notturna,C0024790,"arrossamento, dolore e gonfiore alle gambe",C0398623
emoglobinuria parossistica notturna,C0024790,difficoltà nel respirare,C0013404
emoglobinuria parossistica notturna,C0024790,anemia - pallore,C0002871
emoglobinuria parossistica notturna,C0024790,dolore al petto,C0008031
emoglobinuria parossistica notturna,C0024790,nausea,C0027497
emoglobinuria parossistica notturna,C0024790,difficoltà nel deglutire,C0011168
emoglobinuria parossistica notturna,C0024790,disfunzione erettile,C0242350
emoglobinuria parossistica notturna,C0024790,mal di schiena,C0004604
emoglobinuria parossistica notturna,C0024790,mal di testa,C0018681
emoglobinuria parossistica notturna,C0024790,dolore muscolare,C0231528
anemia falciforme,C0037889,anemia - pallore,C0002871
anemia falciforme,C0037889,difficoltà nel respirare,C0013404
anemia falciforme,C0037889,tachicardia,C0039239
anemia falciforme,C0037889,ittero - pelle giallastra,C0022346
anemia falciforme,C0037889,nausea e sazietà,C0038002
anemia falciforme,C0037889,"Ittero, feci chiare, urine scure (bilirubina)",C0741494
anemia falciforme,C0037889,calcoli biliari,C0008350
sindrome mielodisplastica,C1268964,anemia - pallore,C0002871
sindrome mielodisplastica,C1268964,debolezza,C3714552
sindrome mielodisplastica,C1268964,affaticamento,C0518656
sindrome mielodisplastica,C1268964,lividi a chiazze,C0030232
sindrome mielodisplastica,C1268964,"malessere generale, febbre, stanchezza, nausea e vomito",C0023530
sindrome mielodisplastica,C1268964,numerosi puntini rossi sulla pelle,C0040034
sindrome mielodisplastica,C1268964,fegato ingrossato,C0019214
sarcoidosi,C0947845,febbre,C0015967
sarcoidosi,C0947845,stanchezza - fatica,C0015672
sarcoidosi,C0947845,perdita di appetito,C0003123
sarcoidosi,C0947845,perdita di peso,C2363736
sarcoidosi,C0947845,difficoltà nel respirare,C0013404
sarcoidosi,C0947845,tosse,C0010200
sarcoidosi,C0947845,dolori articolari,C0162323
sindrome di loefgren,C0340164,febbre,C0015967
sindrome di loefgren,C0340164,dolori articolari,C0162323
sindrome di loefgren,C0340164,"arrossamento cutaneo, prurito",C0014743
sindrome di loefgren,C0340164,ingrossamento dei linfonodi,C0456973
sindrome di heerfordt,C0042171,febbre,C0015967
sindrome di heerfordt,C0042171,infiammazione delle ghiandole salivari ,C0030583
sindrome di heerfordt,C0042171,riduzione della vista,C0042164
sindrome di heerfordt,C0042171,lacrimazione e dolore all'occhio,C0022073
sindrome di heerfordt,C0042171,paralisi facciale,C0376175
sarcoidosi acuta,C0947845,tosse secca,C0859870
sarcoidosi acuta,C0947845,difficoltà nel respirare,C0231807
sarcoidosi acuta,C0947845,lacrimazione e dolore all'occhio,C0022073
sarcoidosi acuta,C0947845,"arrossamento cutaneo, prurito",C0014743
sarcoidosi acuta,C0947845,ingrossamento dei linfonodi,C0497156
sarcoidosi acuta,C0947845,"convulsioni, febbre alta",C0025309
sarcoidosi acuta,C0947845,disturbi alla vista,C0547030
sarcoidosi acuta,C0947845,riduzione della vista,C0030353
sarcoidosi acuta,C0947845,difficoltà di concentrazione,C0020255
sarcoidosi acuta,C0947845,insufficienza cardiaca,C0018801
sarcoidosi acuta,C0947845,dolore al petto,C0031039
sarcoidosi acuta,C0947845,valori alti calcio,C0553702
sarcoidosi acuta,C0947845,dolori muscolari e articolari,C0034069
sindrome antifosfolipidica,C0085278,aborto spontaneo,C0000786
sindrome antifosfolipidica,C0085278,lividi a chiazze,C0857794
sindrome antifosfolipidica,C0085278,perdita della vista di un solo occhio,C0149793
microangiopatia trombotica,C0034155,stanchezza - fatica,C0015672
microangiopatia trombotica,C0034155,febbre,C0015967
microangiopatia trombotica,C0034155,numerosi puntini rossi sulla pelle,C0040034
microangiopatia trombotica,C0034155,insufficienza renale,C0022660
microangiopatia trombotica,C0034155,diminuzione delle urine,C0003460
microangiopatia trombotica,C0034155,pressione alta,C0020538
microangiopatia trombotica,C0034155,anemia - pallore,C0019054
microangiopatia trombotica,C0034155,febbre,C0015967
microangiopatia trombotica,C0034155,confusione,C0009676
microangiopatia trombotica,C0034155,convulsioni,C0036572
microangiopatia trombotica,C0034155,numerosi puntini rossi sulla pelle,C0040034
microangiopatia trombotica,C0034155,anemia - pallore,C0019054
ipersplenismo,C0020532,anemia - pallore,C0030312
ipersplenismo,C0020532,lividi a chiazze,C0030232
ipersplenismo,C0020532,affaticamento,C0015672
ipersplenismo,C0020532,"malessere generale, febbre, stanchezza, nausea e vomito",C0023530
ipersplenismo,C0020532,numerosi puntini rossi sulla pelle,C0040034
liquido nella cavità pleurica,C0032227,difficoltà nel respirare,C1260922
liquido nei polmoni,C0034063,difficoltà nel respirare,C0013404
liquido nei polmoni,C0034063,tosse,C0010200
liquido nei polmoni,C0034063,tachicardia,C0039239
liquido nei polmoni,C0034063,cianosi - colorito bluastro-violaceo di pelle,C0010520
liquido nei polmoni,C0034063,agitazione,C3887611
pneumotorace,C0032326,difficoltà nel respirare,C0743323
pneumotorace,C0032326,tosse,C0010200
pneumotorace,C0032326,dolore al petto,C0030193
asma cronico,C0877430,aumento della frequenza respiratoria,C0239324
asma cronico,C0877430,tosse secca,C0850149
asma cronico,C0877430,tosse cronica,C0010201
asma cronico,C0877430,vampate di calore,C0013404
asma cronico,C0877430,tachicardia,C0039239
asma cronico,C0877430,difficoltà nel respirare,C0043144
asma cronico,C0877430,tachicardia,C0039239
asma cronico,C0877430,blocco della gamba destra,C0085615
broncopneumopatia cronica ostruttiva,C0024117,tosse cronica,C0010201
broncopneumopatia cronica ostruttiva,C0024117,difficoltà nel respirare,C0043144
broncopneumopatia cronica ostruttiva,C0024117,aumento della frequenza respiratoria,C0239324
polmonite,C0032285,febbre,C0015967
polmonite,C0032285,difficoltà nel respirare,C0013404
polmonite,C0032285,rumori respiratori,C0035508
enfisema polmonare,C0034067,riduzione della massa muscolare,C0013990
enfisema polmonare,C0034067,ostruzioni (feci e gas),C0028778
enfisema polmonare,C0034067,affaticamento,C0034072
enfisema polmonare,C0034067,difficoltà nel respirare,C0013404
enfisema polmonare,C0034067,cianosi - colorito bluastro-violaceo di pelle,C0010520
fibrosi polmonare,C0034069,difficoltà nel respirare,C0013404
fibrosi polmonare,C0034069,ingrossamento dell'ultima falange,C0009080
fibrosi polmonare,C0034069,aumento della frequenza respiratoria,C0231835
fibrosi polmonare,C0034069,febbre,C0015967
fibrosi polmonare,C0034069,tosse secca,C0859870
embolia polmonare,C0034065,difficoltà nel respirare,C0743323
embolia polmonare,C0034065,tachicardia,C0039239
embolia polmonare,C0034065,difficoltà nel respirare,C0013404
embolia polmonare,C0034065,dolore al petto,C0008031
embolia polmonare,C0034065,paura,C0003467
embolia polmonare,C0034065,difficoltà nel respirare,C0036974
embolia polmonare,C0034065,perdita di coscienza ,C0039070
embolia polmonare,C0034065,aumento della frequenza respiratoria,C0231835
embolia polmonare,C0034065,tachicardia,C0039239
embolia polmonare,C0034065,cianosi - colorito bluastro-violaceo di pelle,C0010520
embolia polmonare,C0034065,tosse,C0010200
embolia polmonare,C0034065,vertigini,C0012833
embolia polmonare,C0034065,aumento della frequenza respiratoria,C0231835
embolia polmonare,C0034065,dolore al petto,C0008031
embolia polmonare,C0034065,tosse,C0010200
embolia polmonare,C0034065,febbre,C0015967
embolia polmonare,C0034065,tachicardia,C0039239
embolia polmonare,C0034065,"vertigini, capogiri e confusione",C0020649
bronchite acuta,C0149514,starnuti,C0035455
bronchite acuta,C0149514,laringite,C0023067
bronchite acuta,C0149514,faringite,C0031350
bronchite acuta,C0149514,febbre,C0015967
bronchite acuta,C0149514,stanchezza - fatica,C0015672
bronchite acuta,C0149514,mal di testa,C0018681
bronchite acuta,C0149514,tosse,C0010200
bronchite acuta,C0149514,dolori muscolari e articolari,C0231528
bronchiolite,C0006271,febbre,C0015967
bronchiolite,C0006271,aumento della frequenza respiratoria,C0231835
bronchiolite,C0006271,cianosi - colorito bluastro-violaceo di pelle,C0010520
bronchiolite,C0006271,tosse,C0010200
febbre di pontiac,C0343528,incapacità di percepire gli odori,C0009443
febbre di pontiac,C0343528,tosse,C0010200
febbre di pontiac,C0343528,mal di gola,C0242429
febbre di pontiac,C0343528,febbre,C0015967
febbre di pontiac,C0343528,confusione,C0009676
febbre di pontiac,C0343528,vertigini,C0012833
febbre di pontiac,C0343528,paura della luce,C0085636
febbre di pontiac,C0343528,dolore muscolare,C0231528
febbre di pontiac,C0343528,mal di testa,C0018681
polmonite legionella,C0023241,brividi,C0032231
polmonite legionella,C0023241,febbre,C0015967
polmonite legionella,C0023241,starnuti,C0035455
polmonite legionella,C0023241,laringite,C0023067
polmonite legionella,C0023241,mal di testa,C0018681
polmonite legionella,C0023241,confusione,C0009676
polmonite legionella,C0023241,torpore,C0023380
polmonite legionella,C0023241,diarrea,C0011991
polmonite legionella,C0023241,tosse secca,C0850149
polmonite atipica,C0857946,mal di testa,C0018681
polmonite atipica,C0857946,febbre,C0015967
polmonite atipica,C0857946,vampate di calore,C0013404
polmonite atipica,C0857946,tosse secca,C0850149
polmonite da pneumocisti,C1535939,tosse secca,C0850149
polmonite da pneumocisti,C1535939,difficoltà nel respirare,C0231807
tubercolosi,C0041296,perdita di peso,C2363736
tubercolosi,C0041296,sudore notturno,C0028081
tubercolosi,C0041296,stanchezza - fatica,C0015672
tubercolosi,C0041296,difficoltà nel respirare,C0231807
"tubercolosi, urogenitale",C0041333,difficoltà nell'urinare,C0013428
"tubercolosi, urogenitale",C0041333,sangue nelle urine,C0018965
"tubercolosi, urogenitale",C0041333,prostatite,C0033581
"tubercolosi, urogenitale",C0041333,assenza del ciclo,C0002453
"tubercolosi, urogenitale",C0041333,perdita di sangue uterino,C0025874
"tubercolosi, urogenitale",C0041333,mestruazioni particolarmente abbondanti,C0025323
micobatteriosi atipica,C1740806,sudore notturno,C0028081
micobatteriosi atipica,C1740806,perdita di peso,C0043046
micobatteriosi atipica,C1740806,diarrea,C0011991
mixedema,C0027145,pelle secca,C0151908
mixedema,C0027145,raucedine,C0019825
mixedema,C0027145,difficoltà nel parlare,C1859270
mixedema,C0027145,sensazione di svenimento,C0428977
mixedema,C0027145,"fiato corto, alterazione battiti del cuore",C0018800
"alveolite, esogena - allergica",C0002390,febbre,C0015967
"alveolite, esogena - allergica",C0002390,tosse secca,C0859870
"alveolite, esogena - allergica",C0002390,dolore alle braccia,C0023518
"alveolite, esogena - allergica",C0002390,affaticamento,C0015672
"alveolite, esogena - allergica",C0002390,stanchezza - fatica,C0015672
"alveolite, esogena - allergica",C0002390,tosse,C0010200
"alveolite, esogena - allergica",C0002390,difficoltà nel respirare,C0013404
"alveolite, esogena - allergica",C0002390,cianosi - colorito bluastro-violaceo di pelle,C0010520
"alveolite, esogena - allergica",C0002390,perdita di peso,C2363736
"alveolite, esogena - allergica",C0002390,dolori muscolari e articolari,C0034069
pertosse,C0043167,incapacità di percepire gli odori,C0009443
pertosse,C0043167,febbre,C1096446
pertosse,C0043167,aumento del numero di linfociti,C0024282
pertosse,C0043167,tosse secca,C0859870
pertosse,C0043167,vomito,C0042963
gastrinoma,C0017150,diarrea,C0011991
gastrinoma,C0017150,reflusso,C0014869
gastrinoma,C0017150,dolore addominale,C0000737
gastrinoma,C0017150,iperacidità di stomaco,C0541977
gastrinoma,C0017150,dolore allo stomaco,C0497194
gastrinoma,C0017150,diarrea,C0011991
gastrinoma,C0017150,feci untuose,C0038238
gastrite cronica,C0085695,nausea,C0027497
gastrite cronica,C0085695,nausea e sazietà,C3714614
malattia di Whipple,C0023788,dolore addominale,C0000737
malattia di Whipple,C0023788,diarrea,C0011991
malattia di Whipple,C0023788,feci untuose,C0038238
malattia di Whipple,C0023788,dolori articolari,C0151435
malattia di Whipple,C0023788,dolore ai glutei,C0574960
malattia di Whipple,C0023788,febbre,C0015967
malattia di Whipple,C0023788,dolori muscolari e articolari,C0151859
malattia di Whipple,C0023788,ingrossamento dei linfonodi,C0497156
malattia di Whipple,C0023788,incapacità nella coordinazione dell'equilibrio,C0004134
malattia di Whipple,C0023788,atrite,C0003864
malattia di Whipple,C0023788,pancia gonfia,C1291077
malattia di Whipple,C0023788,perdita di peso,C2363736
malattia di Whipple,C0023788,difficoltà nel respirare,C0231807
malattia di Whipple,C0023788,tosse cronica,C0010201
malattia di Whipple,C0023788,"dolore al torace, mancanza di ossigeno",C0002962
malattia di Whipple,C0023788,anemia - pallore,C0014118
malattia di Whipple,C0023788,mal di testa,C0018681
malattia di Whipple,C0023788,affaticamento,C0085632
malattia di Whipple,C0023788,parkinsonismo,C0242422
malattia di Whipple,C0023788,difficoltà nel parlare,C0036665
malattia di Whipple,C0023788,ronzio nelle orecchie,C0040264
malattia di Whipple,C0023788,sporgenza degli occhi ,C0015397
carenza di zinco,C0235950,diarrea,C0011991
carenza di zinco,C0235950,perdita dei capelli,C0002170
carenza di magnesio,C0024473,accentuazione dei riflessi,C0151889
carenza di magnesio,C0024473,perdita della sensibilità,C0852415
carenza di magnesio,C0024473,crampi,C0039621
carenza di magnesio,C0024473,tachicardia,C0003811
carenza di magnesio,C0024473,sensazione di un battito mancante o doppio,C0340464
carenza di potassio,C0032827,sensazione di un battito mancante o doppio,C0340464
carenza di potassio,C0032827,debolezza,C0151786
carenza di potassio,C0032827,costipazione,C0009806
carenza di potassio,C0032827,urine frequenti,C0032617
carenza di potassio,C0032827,aumento dell'appetito,C0085602
carenza di vitamina a,C0042842,cecità notturna,C0028077
carenza di vitamina a,C0042842,pelle secca,C0151908
carenza di vitamina a,C0042842,mucosa secca,C0854113
morbo celiaco,C0007570,diarrea,C0011991
morbo celiaco,C0007570,feci untuose,C0038238
morbo celiaco,C0007570,flatulenza,C0016204
morbo celiaco,C0007570,costipazione,C0009806
morbo celiaco,C0007570,perdita di appetito,C0003123
morbo celiaco,C0007570,perdita di peso,C2363736
morbo celiaco,C0007570,suscettibilità alle infezioni,C0236171
morbo celiaco,C0007570,edema - accumulo di liquido,C0013604
morbo celiaco,C0007570,stomatite,C0038363
morbo celiaco,C0007570,atrofia muscolare,C0026846
morbo celiaco,C0007570,carenza di vitamina b12,C0042847
morbo celiaco,C0007570,carenza di acido folico,C0016412
morbo celiaco,C0007570,anemia - pallore,C0002888
morbo celiaco,C0007570,carenza di vitamina k,C0042880
morbo celiaco,C0007570,ecchimosi,C0013491
morbo celiaco,C0007570,lividi a chiazze,C0030232
morbo celiaco,C0007570,dolore anale,C0221245
morbo celiaco,C0007570,formicolio attorno alla bocca,C0020598
morbo celiaco,C0007570,crampi,C0039621
morbo celiaco,C0007570,dolore alle ossa,C0151825
morbo celiaco,C0007570,osteoporosi,C0029456
morbo celiaco,C0007570,nausea,C0027497
morbo celiaco,C0007570,epatite cronica,C0019189
morbo celiaco,C0007570,dolori articolari,C0162323
morbo celiaco,C0007570,dolore intestinale,C0011608
morbo celiaco,C0007570,feci chiare,C3203595
morbo celiaco,C0007570,eritemi,C0041834
morbo celiaco,C0007570,epatite,C0019158
morbo celiaco,C0007570,atrite,C0003864
morbo celiaco,C0007570,carenza di vitamine,C1510471
morbo celiaco,C0007570,anemia - pallore,C0162316
morbo celiaco,C0007570,bruciore alla lingua,C0017672
allergia al grano,C0949570,prurito,C0033774
allergia al grano,C0949570,orticaria,C0042109
allergia al grano,C0949570,"arrossamento cutaneo, prurito",C0011615
allergia al grano,C0949570,vampate di calore,C0013404
allergia al grano,C0949570,diarrea,C0011991
allergia al grano,C0949570,nausea,C0027497
allergia al grano,C0949570,vomito,C0042963
allergia al grano,C0949570,convulsioni,C0026821
allergia al grano,C0949570,flatulenza,C1291077
acrodermatite enteropatica,C0221036,diarrea,C0401151
malattia di menetrier,C0017155,diarrea,C0011991
malattia di menetrier,C0017155,edema - accumulo di liquido,C0013604
leucopenia,C0023530,stomatite,C0038362
leucopenia,C0023530,gonfiore delle gengive,C0031099
leucopenia,C0023530,sinusite,C0037199
leucopenia,C0023530,dolore all'orecchio,C0029882
leucopenia,C0023530,faringite,C0031350
leucopenia,C0023530,polmonite,C0032285
leucopenia,C0023530,foruncoli,C0242301
leucopenia,C0023530,ingrossamento dei linfonodi,C0497156
leucopenia,C0023530,febbre,C0015967
morbo di cushing,C0221406,ematoma,C0018944
morbo di cushing,C0221406,dolore al petto,C0020443
morbo di cushing,C0221406,osteoporosi,C0029456
morbo di cushing,C0221406,perdita forza muscolare,C0235704
morbo di cushing,C0221406,virilismo,C0042755
morbo di cushing,C0221406,affaticamento,C0020621
morbo di cushing,C0221406,viso arrossato,C0332601
morbo di cushing,C0221406,aumento di peso,C0311277
morbo di cushing,C0221406,pressione alta,C0020538
morbo di cushing,C0221406,disfunzione erettile,C0020619
morbo di cushing,C0221406,debolezza nelle braccia,C0947912
morbo di cushing,C0221406,aumento dei peli,C0019572
morbo di cushing,C0221406,depressione,C0011570
Iperkaliemia (alti livelli di potassio nel sangue),C0020461,debolezza nelle braccia,C0947912
Iperkaliemia (alti livelli di potassio nel sangue),C0020461,perdita della sensibilità,C0852415
cardiopatia coronarica,C0010068,"dolore al torace, mancanza di ossigeno",C0002962
cardiopatia coronarica,C0010068,paura,C0003467
osteoporosi,C0029456,scoliosi,C0022822
osteoporosi,C0029456,fratture,C0016658
osteoporosi,C0029456,mal di schiena,C0004604
occlusione intestinale,C1258215,vomito,C0042963
occlusione intestinale,C1258215,pancia gonfia,C1291077
occlusione intestinale,C1258215,dolore addominale,C0000737
cirrosi epatica,C0023890,affaticamento,C0015672
cirrosi epatica,C0023890,stanchezza - fatica,C0015672
cirrosi epatica,C0023890,sensazione di pressione,C0234222
cirrosi epatica,C0023890,pancia gonfia,C1291077
cirrosi epatica,C0023890,nausea,C0027497
cirrosi epatica,C0023890,perdita di peso,C2363736
cirrosi epatica,C0023890,perdita di libido,C2981158
cirrosi epatica,C0023890,impotenza,C0242350
cirrosi epatica,C0023890,atrofia testicolare,C0156312
cirrosi epatica,C0023890,ginecomastia,C0018418
cirrosi epatica,C0023890,assenza del ciclo,C0002453
cirrosi epatica,C0023890,nausea e sazietà,C0038002
cirrosi epatica,C0023890,accumulo di liquido nell'addome,C0003962
cirrosi epatica,C0023890,alito cattivo,C0239571
sindrome di guillain-barre,C0018378,difficoltà a gestire la temperatura,C0854171
sindrome di guillain-barre,C0018378,frequenza cardiaca anormale,C1744601
sindrome di horner,C0019937,restringimento della pupilla ,C0026205
sindrome di horner,C0019937,abbassamento delle palpebre,C0033377
sindrome di horner,C0019937,rientro del bulbo oculare,C0014306
emicrania oculare,C0338481,disturbi alla vista,C0036454
emicrania oculare,C0338481,vertigini,C0012833
emicrania oculare,C0338481,dolore agli occhi,C0029089
morbo di crohn,C0010346,dolore ai glutei,C0574960
morbo di crohn,C0010346,lacrimazione e dolore all'occhio,C0014583
morbo di crohn,C0010346,diminuzione della vista,C0022568
morbo di crohn,C0010346,calcoli urinari,C0392525
morbo di crohn,C0010346,anoressia,C0003123
morbo di crohn,C0010346,febbre,C0015967
morbo di crohn,C0010346,nausea,C0027497
morbo di crohn,C0010346,vomito,C0042963
morbo di crohn,C0010346,perdita di peso,C2363736
morbo di crohn,C0010346,affaticamento,C0015672
morbo di crohn,C0010346,flatulenza,C0016204
morbo di crohn,C0010346,diarrea,C0011991
morbo di crohn,C0010346,atrite,C0003864
morbo di crohn,C0010346,foruncoli,C0042384
morbo di crohn,C0010346,diminuzione delle urine,C0017658
morbo di crohn,C0010346,fegato ingrossato,C0015695
morbo di crohn,C0010346,fistole intestinali,C0079238
morbo di crohn,C0010346,dolore anale,C0281778
morbo di crohn,C0010346,anemia - pallore,C0002871
morbo di crohn,C0010346,carenza di zinco,C0221036
morbo di crohn,C0010346,dolori articolari,C0003862
morbo di crohn,C0010346,riduzione della vista,C0042164
morbo di crohn,C0010346,"arrossamento cutaneo, prurito",C0014743
morbo di crohn,C0010346,ulcere cutenee,C0085652
morbo di crohn,C0010346,stomatite,C0038362
mieloma multiplo,C0026764,fratture,C0016663
mieloma multiplo,C0026764,suscettibilità alle infezioni,C0236171
mieloma multiplo,C0026764,perdita del tessuto osseo,C0221204
mieloma multiplo,C0026764,osteoporosi,C0029456
mieloma multiplo,C0026764,insufficienza renale,C1565489
mieloma multiplo,C0026764,spasmi e crampi,C0152025
mieloma multiplo,C0026764,affaticamento,C0015672
mieloma multiplo,C0026764,difficoltà nel respirare,C0013404
mieloma multiplo,C0026764,numerosi puntini rossi sulla pelle,C0040034
mieloma multiplo,C0026764,"malessere generale, febbre, stanchezza, nausea e vomito",C0023530
mieloma multiplo,C0026764,stitichezza,C0020437
mieloma multiplo,C0026764,urine schiumose,C0033687
mieloma multiplo,C0026764,dolore alle ossa,C0021038
mieloma multiplo,C0026764,anemia - pallore,C0002871
cancro del colon-retto,C1527249,perdita di peso,C2363736
cancro del colon-retto,C1527249,febbre,C0015967
cancro del colon-retto,C1527249,anemia sanguinante,C0948824
cancro del colon-retto,C1527249,stanchezza - fatica,C0015672
cancro del colon-retto,C1527249,affaticamento,C0015672
cancro del colon-retto,C1527249,sangue nelle feci,C1321898
cancro del colon-retto,C1527249,gonfiore addominale,C1258215
cancro del colon-retto,C1527249,perdita di peso,C2363736
cancro del colon-retto,C1527249,stanchezza - fatica,C0015672
cancro del colon-retto,C1527249,lividi a chiazze,C0030232
cancro del colon-retto,C1527249,anemia - pallore,C0002871
miastenia grave,C0026896,dolore al petto,C0026848
miastenia grave,C0026896,debolezza,C0151786
miastenia grave,C0026896,scoliosi,C0036439
miastenia grave,C0026896,abbassamento delle palpebre,C0033377
miastenia grave,C0026896,diplopie,C0012569
miastenia grave,C0026896,difficoltà nel deglutire,C0011168
miastenia grave,C0026896,difficoltà nel muovere le labbra,C0013362
miastenia grave,C0026896,difficoltà nel respirare,C0013404
miastenia grave,C0026896,paralisi facciale,C0376175
artrite reumatoide,C0003873,unghie fragili,C0546956
artrite reumatoide,C0003873,eritema palmare,C0014745
artrite reumatoide,C0003873,dolori articolari,C0162323
artrite reumatoide,C0003873,atrofia muscolare,C0026846
